date,hour,total_sales
2023-01-01,8,195.51
2023-01-01,9,709.11
2023-01-01,10,291.47
2023-01-01,11,916.31
2023-01-01,12,847.43
2023-01-01,13,905.28
2023-01-01,14,258.64
2023-01-01,15,225.48
2023-01-01,16,303.4
2023-01-01,17,1017.16
2023-01-01,18,864.99
2023-01-01,19,813.5
2023-01-01,20,776.92
2023-01-01,21,338.36
2023-01-02,8,290.57
2023-01-02,9,507.18
2023-01-02,10,448.94
2023-01-02,11,272.58
2023-01-02,12,697.28
2023-01-02,13,818.53
2023-01-02,14,361.16
2023-01-02,15,398.45
2023-01-02,16,687.53
2023-01-02,17,591.64
2023-01-02,18,845.59
2023-01-02,19,95.67
2023-01-02,20,153.56
2023-01-02,21,565.49
2023-01-03,8,327.05
2023-01-03,9,385.53
2023-01-03,10,245.77
2023-01-03,11,447.8
2023-01-03,12,375.44
2023-01-03,13,198.43
2023-01-03,14,116.81
2023-01-03,15,42.28
2023-01-03,16,142.43
2023-01-03,17,237.3
2023-01-03,18,750.74
2023-01-03,19,193.72
2023-01-03,20,214.03
2023-01-03,21,131.47
2023-01-04,8,182.91
2023-01-04,9,224.39
2023-01-04,10,136.35
2023-01-04,11,359.96
2023-01-04,12,408.71
2023-01-04,13,764.78
2023-01-04,14,335.6
2023-01-04,15,275.96
2023-01-04,16,629.18
2023-01-04,17,437.85
2023-01-04,18,532.27
2023-01-04,19,240.56
2023-01-04,20,403.94
2023-01-04,21,362.95
2023-01-05,8,143.83
2023-01-05,9,445.62
2023-01-05,10,163.12
2023-01-05,11,566.09
2023-01-05,12,479.3
2023-01-05,13,181.48
2023-01-05,14,354.41
2023-01-05,15,305.99
2023-01-05,16,582.76
2023-01-05,17,557.38
2023-01-05,18,712.58
2023-01-05,19,141.86
2023-01-05,20,306.79
2023-01-05,21,720.19
2023-01-06,8,171.4
2023-01-06,9,229.23
2023-01-06,10,219.37
2023-01-06,11,179.47
2023-01-06,12,450.72
2023-01-06,13,281.78
2023-01-06,14,407.26
2023-01-06,15,267.79
2023-01-06,16,621.43
2023-01-06,17,610.8
2023-01-06,18,620.38
2023-01-06,19,271.14
2023-01-06,20,240.99
2023-01-06,21,167.28
2023-01-07,8,337.82
2023-01-07,9,701.61
2023-01-07,10,199.36
2023-01-07,11,361.15
2023-01-07,12,491.61
2023-01-07,13,1296.69
2023-01-07,14,320.13
2023-01-07,15,448.52
2023-01-07,16,836.2
2023-01-07,17,1061.74
2023-01-07,18,829.23
2023-01-07,19,434.57
2023-01-07,20,282.19
2023-01-07,21,920.31
2023-01-08,8,887.97
2023-01-08,9,606.59
2023-01-08,10,600.42
2023-01-08,11,386.2
2023-01-08,12,1194.89
2023-01-08,13,934.41
2023-01-08,14,331.74
2023-01-08,15,401.41
2023-01-08,16,878.0
2023-01-08,17,1064.92
2023-01-08,18,1229.22
2023-01-08,19,726.44
2023-01-08,20,637.92
2023-01-08,21,689.02
2023-01-09,8,331.5
2023-01-09,9,350.46
2023-01-09,10,230.01
2023-01-09,11,413.69
2023-01-09,12,586.56
2023-01-09,13,671.26
2023-01-09,14,588.11
2023-01-09,15,204.16
2023-01-09,16,437.06
2023-01-09,17,644.17
2023-01-09,18,469.3
2023-01-09,19,555.16
2023-01-09,20,101.47
2023-01-09,21,322.32
2023-01-10,8,536.62
2023-01-10,9,138.12
2023-01-10,10,554.18
2023-01-10,11,361.99
2023-01-10,12,530.89
2023-01-10,13,594.6
2023-01-10,14,252.48
2023-01-10,15,305.97
2023-01-10,16,266.64
2023-01-10,17,548.01
2023-01-10,18,437.27
2023-01-10,19,405.4
2023-01-10,20,110.57
2023-01-10,21,670.74
2023-01-11,8,118.71
2023-01-11,9,115.2
2023-01-11,10,547.93
2023-01-11,11,690.36
2023-01-11,12,395.07
2023-01-11,13,380.65
2023-01-11,14,142.24
2023-01-11,15,243.13
2023-01-11,16,328.18
2023-01-11,17,613.6
2023-01-11,18,422.06
2023-01-11,19,369.12
2023-01-11,20,377.32
2023-01-11,21,326.74
2023-01-12,8,114.77
2023-01-12,9,378.42
2023-01-12,10,332.58
